"graph","class","property"
"IEDA","http://schema.org/CreativeWork","http://schema.org/name"
"IEDA","http://schema.org/DataDownload","http://schema.org/additionalType"
"IEDA","http://schema.org/DataDownload","http://schema.org/encodingFormat"
"IEDA","http://schema.org/DataDownload","http://schema.org/name"
"IEDA","http://schema.org/DataDownload","http://schema.org/url"
"IEDA","http://schema.org/Dataset","http://schema.org/additionalType"
"IEDA","http://schema.org/Dataset","http://schema.org/citation"
"IEDA","http://schema.org/Dataset","http://schema.org/creator"
"IEDA","http://schema.org/Dataset","http://schema.org/dateCreated"
"IEDA","http://schema.org/Dataset","http://schema.org/datePublished"
"IEDA","http://schema.org/Dataset","http://schema.org/description"
"IEDA","http://schema.org/Dataset","http://schema.org/distribution"
"IEDA","http://schema.org/Dataset","http://schema.org/hasPart"
"IEDA","http://schema.org/Dataset","http://schema.org/identifier"
"IEDA","http://schema.org/Dataset","http://schema.org/inLanguage"
"IEDA","http://schema.org/Dataset","http://schema.org/isPartOf"
"IEDA","http://schema.org/Dataset","http://schema.org/keywords"
"IEDA","http://schema.org/Dataset","http://schema.org/license"
"IEDA","http://schema.org/Dataset","http://schema.org/name"
"IEDA","http://schema.org/Dataset","http://schema.org/provider"
"IEDA","http://schema.org/Dataset","http://schema.org/publisher"
"IEDA","http://schema.org/Dataset","http://schema.org/spatialCoverage"
"IEDA","http://schema.org/Dataset","http://schema.org/version"
"IEDA","http://schema.org/DigitalDocument","http://schema.org/additionalType"
"IEDA","http://schema.org/DigitalDocument","http://schema.org/description"
"IEDA","http://schema.org/DigitalDocument","http://schema.org/name"
"IEDA","http://schema.org/DigitalDocument","http://schema.org/url"
"IEDA","http://schema.org/GeoCoordinates","http://schema.org/latitude"
"IEDA","http://schema.org/GeoCoordinates","http://schema.org/longitude"
"IEDA","http://schema.org/GeoShape","http://schema.org/box"
"IEDA","http://schema.org/ImageObject","http://schema.org/url"
"IEDA","http://schema.org/Organization","http://schema.org/address"
"IEDA","http://schema.org/Organization","http://schema.org/alternateName"
"IEDA","http://schema.org/Organization","http://schema.org/contactPoint"
"IEDA","http://schema.org/Organization","http://schema.org/description"
"IEDA","http://schema.org/Organization","http://schema.org/funder"
"IEDA","http://schema.org/Organization","http://schema.org/legalName"
"IEDA","http://schema.org/Organization","http://schema.org/logo"
"IEDA","http://schema.org/Organization","http://schema.org/name"
"IEDA","http://schema.org/Organization","http://schema.org/parentOrganization"
"IEDA","http://schema.org/Organization","http://schema.org/publishingPrinciples"
"IEDA","http://schema.org/Organization","http://schema.org/url"
"IEDA","http://schema.org/Person","http://schema.org/additionalType"
"IEDA","http://schema.org/Person","http://schema.org/familyName"
"IEDA","http://schema.org/Person","http://schema.org/givenName"
"IEDA","http://schema.org/Person","http://schema.org/name"
"IEDA","http://schema.org/Place","http://schema.org/geo"
"IEDA","http://schema.org/Place","http://schema.org/name"
"IEDA","http://schema.org/PostalAddress","http://schema.org/addressCountry"
"IEDA","http://schema.org/PostalAddress","http://schema.org/addressLocality"
"IEDA","http://schema.org/PostalAddress","http://schema.org/addressRegion"
"IEDA","http://schema.org/PostalAddress","http://schema.org/postalCode"
"IEDA","http://schema.org/PostalAddress","http://schema.org/streetAddress"
"IEDA","http://schema.org/PropertyValue","http://schema.org/additionalType"
"IEDA","http://schema.org/PropertyValue","http://schema.org/propertyID"
"IEDA","http://schema.org/PropertyValue","http://schema.org/url"
"IEDA","http://schema.org/PropertyValue","http://schema.org/value"
"IRIS","http://schema.org/DataCatalog","http://schema.org/dataset"
"IRIS","http://schema.org/DataCatalog","http://schema.org/description"
"IRIS","http://schema.org/DataCatalog","http://schema.org/name"
"IRIS","http://schema.org/DataCatalog","http://schema.org/url"
"IRIS","http://schema.org/Dataset","http://schema.org/author"
"IRIS","http://schema.org/Dataset","http://schema.org/dateCreated"
"IRIS","http://schema.org/Dataset","http://schema.org/dateModified"
"IRIS","http://schema.org/Dataset","http://schema.org/description"
"IRIS","http://schema.org/Dataset","http://schema.org/image"
